"","x"
"1","Serpine2"
"2","Cspg5"
"3","Pdgfra"
"4","Ccnd1"
"5","Lhfpl3"
"6","Tsc22d1"
"7","Cdo1"
"8","Ramp1"
"9","Gpm6a"
"10","Ednrb"
"11","Ptprz1"
"12","Atp1a2"
"13","Cntn1"
"14","Kcnip3"
"15","Sparcl1"
"16","Nrxn1"
"17","Tmem100"
"18","Cspg4"
"19","Tmem176b"
"20","C1ql1"
"21","3110035E14Rik"
"22","Dclk1"
"23","Slc1a2"
"24","Matn4"
"25","Mt3"
"26","Slc35f1"
"27","Tspan13"
"28","F3"
"29","Zfp36l1"
"30","Pcdh15"
"31","Emid1"
"32","Socs3"
"33","Fabp7"
"34","Ddah1"
"35","Rlbp1"
"36","Tmem176a"
"37","Sdc3"
"38","Gria3"
"39","Slc38a3"
"40","Pid1"
"41","Atp1b2"
"42","Ugdh"
"43","1700086L19Rik"
"44","Cyr61"
"45","Tagln2"
"46","Megf11"
"47","Zeb1"
"48","Dlgap1"
"49","Snx22"
"50","3632451O06Rik"
"51","Etv4"
"52","Trib2"
"53","Lrp1"
"54","Sox5"
"55","Ntm"
"56","Ppp1r14b"
"57","Ctnnd2"
"58","Car8"
"59","Cav2"
"60","Dpp6"
"61","Mdk"
"62","Rprm"
"63","Klhl13"
"64","Fam5c"
"65","Bhlhe40"
"66","Cd302"
"67","Tacc2"
"68","Dpysl3"
"69","G0s2"
"70","Klf2"
"71","Lmo4"
"72","B230209E15Rik"
"73","Shc4"
"74","Sstr1"
"75","Nxph1"
"76","Id2"
"77","Ppp2r2b"
"78","Cav1"
"79","Pgcp"
"80","Susd5"
"81","2010317E24Rik"
"82","Kcnd2"
"83","Kcnj16"
"84","1300014I06Rik"
"85","B3gat2"
"86","Igsf21"
"87","Mmp16"
"88","Myo10"
"89","Trib1"
"90","Dbc1"
"91","Mmp15"
"92","Elavl4"
"93","C1ql2"
"94","Ppapdc1a"
"95","Chst11"
"96","Rph3a"
"97","Lass4"
"98","Midn"
"99","Myt1"
"100","Ascl1"
"101","1110067D22Rik"
"102","Lmcd1"
"103","Cdk5r1"
"104","Fam155a"
"105","Spry1"
"106","Chst5"
"107","AI854517"
"108","Tceal6"
"109","4833424O15Rik"
"110","Igfbp3"
"111","Ccnd3"
"112","Lrrfip1"
"113","Cobl"
"114","Grm5"
"115","Cxcl14"
"116","E130114P18Rik"
"117","Fchsd2"
"118","Lnx1"
"119","Ppp1r14c"
"120","Dbx2"
"121","Nova1"
"122","Slc7a3"
"123","Cp"
"124","Ctxn1"
"125","Dcaf12l1"
"126","Etv5"
"127","Sema5b"
"128","Fam70b"
"129","Fnbp1l"
"130","Hlf"
"131","Pdzrn4"
"132","Gstt1"
"133","Fzd9"
"134","Lrrtm3"
"135","Srrm3"
"136","Cebpd"
