"","x"
"1","6330403K07Rik"
"2","Ptn"
"3","Aldoc"
"4","Cst3"
"5","Col23a1"
"6","Tspan7"
"7","Slc16a2"
"8","Thrsp"
"9","1810020D17Rik"
"10","Kctd14"
"11","Fbxo2"
"12","Cebpd"
"13","Rax"
"14","Bex1"
"15","Spon1"
"16","Efna5"
"17","Rcn1"
"18","E030019B13Rik"
"19","Mest"
"20","Cldn10"
"21","Mef2c"
"22","Gpc3"
"23","Crym"
"24","Nt5dc2"
"25","Lix1"
"26","Tceal5"
"27","Lhx2"
"28","Pik3r1"
"29","Fgl2"
"30","Rcn3"
"31","Frzb"
"32","Fzd5"
"33","Fgf10"
"34","Rbp4"
"35","Dio2"
"36","Pcdh9"
"37","Cited1"
"38","Lsamp"
"39","2610034M16Rik"
"40","Ccdc85a"
"41","Vegfa"
"42","Ece1"
"43","Deptor"
"44","Irgm1"
"45","Gria2"
"46","Dgkb"
"47","Ddah1"
"48","Tbx3"
"49","Vcan"
"50","Lrrn1"
"51","Trpm3"
"52","Adcy2"
"53","Psmb8"
"54","Orai1"
"55","Pdgfc"
"56","Peg10"
"57","Islr"
"58","Nr2e1"
"59","Penk"
"60","Col25a1"
"61","Rlbp1"
"62","Cox6a2"
"63","Fezf2"
"64","Igfbp4"
"65","Ephb1"
"66","Grpr"
"67","Ttyh3"
"68","Mfap2"
"69","Mpped2"
"70","Nell2"
"71","4632428N05Rik"
"72","Tbc1d10a"
"73","B3gat2"
"74","Fkbp10"
"75","Flt1"
"76","Nfatc4"
"77","Pkib"
"78","Sorcs3"
"79","AI593442"
"80","Smarca1"
"81","Asb4"
"82","Adam23"
"83","AI836003"
"84","Cyp2j9"
"85","Snord104"
"86","Acss2"
"87","Gatsl3"
"88","Hip1"
"89","Rbm46"
"90","Cnih2"
"91","Mafb"
"92","Shisa9"
"93","Rgs7"
"94","Cyp27a1"
"95","Myl6b"
"96","1700063D05Rik"
"97","Camk2a"
"98","Slc13a3"
"99","Tlr2"
"100","2900011O08Rik"
"101","Tmem192"
"102","Kctd12b"
"103","1700003F12Rik"
"104","Grik3"
"105","Ccdc106"
"106","Lgr6"
"107","Tle2"
"108","Six6"
"109","Ecel1"
"110","Wbscr27"
"111","Myom3"
"112","Tmem191c"
"113","Ppp1r14b"
"114","Col11a1"
"115","Crlf2"
"116","Alpl"
"117","Prr16"
"118","Tubb6"
"119","4930447C04Rik"
"120","Efnb2"
"121","Fah"
"122","Rhbdl1"
"123","Fndc3c1"
"124","Rasgrp2"
"125","Slc35f1"
"126","Arxes1"
"127","Cpa4"
"128","Fkbp5"
"129","Lin7a"
"130","B3gnt5"
"131","Dlk1"
"132","Rgs7bp"
"133","Lrat"
"134","Qpct"
"135","Cpne5"
"136","Fgf12"
"137","Pld5"
"138","Plekho2"
"139","Tmem132c"
"140","Emilin1"
"141","Hebp2"
"142","Gm13889"
"143","Prss23"
"144","Usp51"
"145","Gpr50"
"146","Itga1"
"147","Spag5"
"148","Tapbpl"
"149","Wbscr17"
"150","9130206I24Rik"
"151","Krtap17-1"
"152","Mertk"
"153","Sntb2"
"154","Abca8a"
"155","Cyth1"
"156","Glcci1"
"157","Serpine1"
"158","Speg"
"159","Car8"
"160","Esam"
"161","Fam69c"
"162","Rtn2"
"163","Cenpt"
"164","Pygm"
"165","Abi3bp"
"166","Crabp2"
"167","Mtmr11"
"168","Shkbp1"
"169","Tle6"
"170","Mfap3l"
"171","Tesc"
"172","Celf5"
"173","Fam40b"
"174","Fbln5"
"175","Hs3st3a1"
"176","Lypd6"
"177","Nlrp6"
"178","Zdhhc2"
"179","3110003A17Rik"
"180","Fam169a"
"181","Mto1"
"182","AW011738"
"183","Cish"
"184","Gm5124"
"185","Scube1"
"186","Hlcs"
"187","Zufsp"
"188","2900052N01Rik"
"189","AW549542"
"190","Col4a6"
"191","Dio3"
"192","Elavl4"
"193","Elmo1"
"194","Elovl2"
"195","Epha4"
"196","Inha"
"197","Lrrc24"
"198","Magel2"
"199","Nop2"
"200","Plcl1"
"201","Afap1l1"
"202","Hes5"
"203","Iigp1"
"204","Il1rapl2"
"205","Lmo1"
"206","Mapk11"
"207","Oprk1"
"208","Plxnd1"
"209","Tmem178"
"210","Extl1"
"211","Foxd2"
"212","Gm13293"
"213","Inpp4b"
"214","Ngfr"
"215","Nol3"
"216","Pcdh19"
"217","Pgm5"
"218","Rasgef1a"
"219","Samd5"
"220","Tmem25"
"221","2400009B08Rik"
"222","Angptl1"
"223","Bid"
"224","Edar"
"225","Gm10639"
"226","Gm16861"
"227","Gypc"
"228","Lrrtm3"
"229","Pde7b"
"230","Pdgfra"
"231","Rasip1"
"232","Stra6"
"233","A2m"
"234","Crybb1"
"235","Cyp1b1"
"236","Cyp20a1"
"237","Cysltr1"
"238","Gab3"
"239","Loxl1"
"240","Mrc2"
"241","Msln"
"242","Tmem145"
"243","Ifi27l2a"
"244","Prss56"
"245","Plek"
"246","Plvap"
"247","Slc7a1"
"248","Spry1"
"249","2900008C10Rik"
"250","9130008F23Rik"
"251","Chst5"
"252","Fam129a"
"253","Gpr88"
"254","Lrrc16b"
"255","Magee2"
"256","Nacad"
"257","Npy1r"
"258","Opn1sw"
"259","Oxtr"
"260","Phox2a"
"261","Slc1a6"
"262","Slc7a3"
"263","Syce2"
"264","Tacr1"
"265","Tmem44"
"266","Abtb2"
"267","Agrp"
"268","Cd38"
"269","Dcn"
"270","Notum"
"271","Nptx1"
"272","2310068J16Rik"
"273","Adra1b"
"274","Casp8"
"275","Cldn3"
"276","Etv4"
"277","Fcgr2b"
"278","Syt13"
"279","Tbc1d8"
"280","Zbtb49"
"281","4930405A21Rik"
"282","Amt"
"283","Cd14"
"284","Cercam"
"285","Dlx1"
"286","Hsd11b1"
"287","Plcxd1"
"288","S100g"
"289","Scn1a"
"290","Tac1"
"291","Tgfbi"
"292","9330182L06Rik"
"293","Abca8b"
"294","Fam176b"
"295","Galnt13"
"296","Il18bp"
"297","Kcnj9"
"298","Mapk13"
"299","Megf11"
"300","Sprr1a"
"301","Cxcl10"
