"","Total cell number","Fed","FD","diff.gene.num"
"Glu1","13","7","6","33"
"Glu2","21","9","12","65"
"Glu3","13","7","6","32"
"Glu4","131","43","88","56"
"Glu5","200","103","97","125"
"Glu6","51","25","26","23"
"Glu7","211","79","132","56"
"Glu8","50","29","21","83"
"Glu9","35","23","12","24"
"Glu10","15","10","5","27"
"Glu11","42","29","13","28"
"Glu12","24","8","16","90"
"Glu13","24","7","17","33"
"Glu14","51","27","24","39"
"Glu15","25","13","12","42"
"GABA1","23","7","16","111"
"GABA2","27","10","17","46"
"GABA3","97","45","52","76"
"GABA4","18","10","8","30"
"GABA5","73","36","37","48"
"GABA6","49","14","35","46"
"GABA7","17","6","11","25"
"GABA8","402","175","227","57"
"GABA9","71","25","46","48"
"GABA10","23","8","15","5"
"GABA11","35","16","19","149"
"GABA12","62","41","21","29"
"GABA13","165","91","74","96"
"GABA14","71","29","42","48"
"GABA15","112","62","50","162"
"GABA16","66","29","37","56"
"GABA17","50","24","26","73"
"GABA18","31","10","21","105"
"Hista","17","7","10","32"
